,arrays,label
27,"[2.03058018e-08 1.51918073e-06 4.00037158e-05 4.79789894e-04
 4.84310271e-03 4.34219961e-02 2.31141780e-01 5.11611773e-01]",0
28,"[7.59293431e-08 5.34917929e-06 1.14215201e-04 1.26616589e-03
 1.24719625e-02 1.00506293e-01 3.89265595e-01 6.60283706e-01]",0
29,"[2.08267472e-08 1.71065787e-06 4.62461803e-05 5.55530670e-04
 5.59601482e-03 4.92161761e-02 2.42378134e-01 4.89830635e-01]",0
30,"[3.46630293e-07 2.47616247e-05 5.62689905e-04 6.31805770e-03
 4.81342695e-02 1.51574058e-01 2.04510600e-01 2.12835860e-01]",0
31,"[5.28659780e-08 5.12343461e-06 3.12045179e-04 5.73264275e-03
 4.77056494e-02 1.51496772e-01 2.04504011e-01 2.12835241e-01]",0
32,"[2.44711738e-07 2.22586413e-05 8.93976907e-04 1.19562739e-02
 7.69040782e-02 1.76451338e-01 2.09100056e-01 2.13335918e-01]",0
33,"[2.99771684e-08 2.72735726e-06 1.10109780e-04 1.56569521e-03
 1.50967357e-02 8.66290984e-02 1.82039187e-01 2.09943553e-01]",0
34,"[1.20226662e-07 1.09382240e-05 4.41454917e-04 6.25307377e-03
 5.83295477e-02 2.95939534e-01 5.83950901e-01 6.89927971e-01]",0
35,"[1.20225223e-07 1.09364312e-05 4.40025874e-04 6.00498508e-03
 4.28719361e-02 1.10277147e-01 1.33912296e-01 1.36983834e-01]",0
36,"[1.20124789e-07 1.04159036e-05 3.23917007e-04 3.97492480e-03
 3.34078842e-02 1.27652770e-01 1.89221741e-01 2.00040972e-01]",0
37,"[3.21090642e-08 2.92115964e-06 1.17896660e-04 1.67243322e-03
 1.57983606e-02 8.24005377e-02 1.53695338e-01 1.70640160e-01]",0
38,"[1.17723303e-07 9.34531487e-06 2.80368075e-04 3.44590834e-03
 2.97795873e-02 1.22711184e-01 1.89740316e-01 2.02060810e-01]",0
39,"[1.20225795e-07 1.09371437e-05 4.40592756e-04 6.10121790e-03
 4.79874330e-02 1.51547816e-01 2.04508364e-01 2.12835656e-01]",0
40,"[3.96154923e-07 1.44469842e-05 1.95298728e-04 2.00447266e-03
 1.77469722e-02 8.50033783e-02 1.45561743e-01 1.58019091e-01]",0
41,"[2.38509645e-07 1.18475084e-05 1.89095101e-04 1.99733781e-03
 1.77409701e-02 8.50012350e-02 1.45561480e-01 1.58019117e-01]",0
42,"[4.89885459e-07 1.54489664e-05 1.97235546e-04 2.00658536e-03
 1.77487378e-02 8.50040081e-02 1.45561815e-01 1.58019144e-01]",0
43,"[3.59467067e-07 1.31091980e-05 1.77236732e-04 1.82138894e-03
 1.62991033e-02 8.13465921e-02 1.44296809e-01 1.57862777e-01]",0
44,"[1.13624448e-07 4.14401632e-06 5.60751611e-05 5.81194254e-04
 5.61458485e-03 4.11853153e-02 1.20643329e-01 1.54317452e-01]",0
45,"[3.96156495e-07 1.44478975e-05 1.95444116e-04 2.01960177e-03
 1.89789307e-02 1.20072075e-01 2.98715493e-01 3.77699540e-01]",0
46,"[3.96156890e-07 1.44481266e-05 1.95480622e-04 2.02343283e-03
 1.93146007e-02 1.33119304e-01 3.83635205e-01 5.49027835e-01]",0
47,"[3.92144844e-07 1.33670396e-05 1.73941230e-04 1.77626319e-03
 1.59018335e-02 7.96252775e-02 1.41361849e-01 1.54626320e-01]",0
48,"[1.31193502e-07 4.78467483e-06 6.47329593e-05 6.69784028e-04
 6.36763851e-03 4.22945240e-02 1.03832398e-01 1.23978608e-01]",0
